HeartRate,Glucose,Temperature,Oxygen,Steps,RiskLevel,RiskEncoded
101,69.71058212252316,39.73057731066817,88.56314987385817,15921,Critical,0
64,74.10892019283973,36.866546581398765,99.5709264106246,11870,Healthy,1
121,62.551055591216965,36.35372336571777,87.71465429064234,4082,Critical,0
110,73.22201450582997,38.21999771619508,97.81577640054368,13718,Needs Checkup,2
70,155.62094827828997,37.04367085549048,92.38416784672052,10517,Needs Checkup,2
132,69.96641078443206,35.126931778301724,88.70846611604766,3754,Critical,0
136,104.65658824112658,35.78076298683095,98.06124851908767,1724,Critical,0
124,178.28254353572362,38.579861144236986,91.67957882503998,1376,Critical,0
124,63.25807100301562,38.29461970955076,92.72226030894535,8706,Critical,0
137,174.025587562451,35.135479962517415,90.38850054099649,8894,Critical,0
73,99.45966846827599,36.109860809664745,93.89426277152391,18037,Needs Checkup,2
52,76.54307586703187,36.155373982940354,87.45285808877534,18450,Critical,0
71,157.54320315098107,38.35946371799364,90.86622304977641,16406,Needs Checkup,2
102,148.05199854918376,35.09855268877182,99.54118483502931,18844,Needs Checkup,2
51,182.8460818937874,35.52054290992287,88.87200149051691,5926,Critical,0
137,162.909946132544,38.99958042686595,94.85104996811938,6251,Critical,0
79,172.48733025387878,35.89272331027167,89.87785096337042,9496,Critical,0
87,99.48484015998291,38.26373053925937,96.602096885299,3300,Needs Checkup,2
51,84.8415361291612,36.190913905233636,86.96310491077524,8553,Critical,0
113,165.08606522972016,35.49720696379673,99.54731567617817,3727,Needs Checkup,2
109,172.95686349741698,36.21586095499727,91.80684312075459,16898,Needs Checkup,2
70,198.67071988009425,38.6113346592783,88.54075695019696,16832,Critical,0
82,117.7664747675997,39.278482340531426,86.10245120995019,6019,Critical,0
125,112.08253201098964,39.15109932283496,87.54636857631311,15463,Critical,0
107,168.69781450387956,36.985917648092276,92.79660922834026,10047,Needs Checkup,2
71,107.7124956354225,38.34042568285323,90.05504764646929,11754,Needs Checkup,2
138,190.30602558449905,36.024921477079104,97.43325048823914,2520,Critical,0
98,180.17778525802166,36.46573865130507,91.4633128549271,3081,Critical,0
108,120.05916383250258,39.481679092605596,88.73071408881445,1428,Critical,0
91,165.12194949080964,35.06500961755368,94.25717479906045,3967,Needs Checkup,2
109,165.6360023718555,35.427542654272344,95.60165825328168,6445,Needs Checkup,2
129,74.43734163703057,36.03943127573014,87.50562861851425,14566,Critical,0
64,186.35740693513935,35.132661019369095,87.51428824432476,14042,Critical,0
111,130.7353321427,35.907177175448986,85.55007140400315,11329,Critical,0
111,175.70404525508383,37.915207804848464,96.04603022598461,2159,Needs Checkup,2
96,104.80694414428564,37.10712275296249,94.95706791432707,5132,Needs Checkup,2
111,185.37325198946806,39.46335855538487,92.1194631362472,18931,Critical,0
100,114.48823502278285,39.0872178086922,97.66255673453796,19363,Critical,0
104,61.51727120724177,36.70908675848938,97.0850522942508,14933,Needs Checkup,2
113,186.75347669869691,36.297117167156465,93.78031546595128,10473,Critical,0
52,72.78013475005869,36.898462040836336,98.02406920769889,19033,Healthy,1
100,104.70390926265807,37.95147471257404,88.08761815055152,10805,Critical,0
56,193.0086753871127,36.34031820411438,86.67879429096593,3083,Critical,0
70,193.08500057125786,38.12074453924567,89.04624417275484,17421,Critical,0
122,140.28130433726005,37.047058260956206,85.85630284133973,13944,Critical,0
88,148.4572097037719,37.7602359042599,92.96754292001548,19873,Needs Checkup,2
67,122.78237307696477,37.18063264567658,99.04908538442442,7604,Healthy,1
53,101.04950803772903,36.47232879770959,85.59015311002764,15379,Critical,0
138,106.01303635178823,39.74226653481078,86.8316487101504,19018,Critical,0
109,154.1525838507854,38.81802897079881,91.78298542425154,3983,Needs Checkup,2
63,165.33243412127518,35.700565878832265,99.00812526291857,1778,Needs Checkup,2
58,170.8210661216188,39.342339879489565,89.74234157465126,5110,Critical,0
139,170.54653999123755,37.437155991247565,92.60852213032588,12087,Critical,0
102,72.76885442681666,39.47276113447046,85.62359288575588,17508,Critical,0
51,129.2188426583614,38.99927627973658,87.22514801443133,17081,Critical,0
133,68.0582264023302,37.12606752234617,99.7994518443827,2179,Critical,0
109,136.93404352532298,35.11234654160059,99.47678044654069,9596,Needs Checkup,2
120,121.81427019227277,36.34338679692473,85.07409971401614,5251,Critical,0
93,184.27858558616197,37.708171073304335,99.27717678134859,9235,Critical,0
57,109.128101757291,38.16739109913074,94.5867990672325,18313,Needs Checkup,2
96,76.38938229986482,36.28943842716601,98.01877441780033,14871,Healthy,1
84,80.01883548739701,35.696780370364124,91.82109783450788,1013,Needs Checkup,2
127,166.61148844044612,39.174651183996495,92.73394042868875,16610,Critical,0
130,146.55052886427654,39.92201090351776,92.33269870385381,1828,Critical,0
85,74.15717465719064,37.628450911513426,95.00296386319157,7909,Needs Checkup,2
99,71.77495285609965,35.858396429241516,87.0947688213447,5588,Critical,0
53,158.1356784042768,36.361536632596845,85.44960384809016,13109,Critical,0
51,70.1868208909871,35.09195338273734,89.61894912386786,2023,Critical,0
55,175.06040830064987,39.5714940328025,95.57021144104971,14537,Critical,0
103,158.87391180190946,35.5887554144507,88.02780178184423,5891,Critical,0
53,71.38882928986597,37.88258237757127,95.10148649987376,1080,Needs Checkup,2
103,71.87727997192687,36.37027610343603,99.54868069160906,5036,Needs Checkup,2
112,198.12954099016457,37.77089001257897,86.40851073684128,15379,Critical,0
67,112.39791140585685,38.25710194175932,95.08903177337689,10822,Needs Checkup,2
139,111.88990058936473,39.14870901853601,91.65625328956857,2563,Critical,0
93,173.79193941605035,36.03210635880301,98.02213381566258,3292,Needs Checkup,2
83,192.61480083374022,35.0549791432924,87.65724684171079,3586,Critical,0
123,198.04014893520193,35.68442815034403,95.38938928339246,16087,Critical,0
111,165.47294593625185,39.500093209240525,97.57172934472166,16100,Critical,0
63,112.67634197432821,39.36945038781258,99.16921329211036,6643,Critical,0
97,71.69010033781363,37.987065510851544,95.24872042434468,3959,Needs Checkup,2
64,168.80056822984113,38.002584302168266,92.4576214601264,11005,Needs Checkup,2
121,138.1765949630127,38.325183372731274,94.2677086030182,10775,Critical,0
127,119.39108129457668,35.87685639311725,98.03357476718077,161,Critical,0
136,186.88961391326302,39.5720597296248,93.55914619958244,16029,Critical,0
